0	0.9757338	0.014019085	0.0028757434	0.002908184	0.004463191
0	0.97731006	0.010321718	0.0033440865	0.003818928	0.0052051493
1	0.41533116	0.5185725	0.008794671	0.023596594	0.033705108
1	0.25753137	0.37081558	0.008710467	0.15847546	0.20446703
2	0.009185179	0.037743688	0.9219516	0.021586789	0.009532752
2	0.0076258136	0.04250013	0.9205947	0.020393357	0.008885965
3	0.008454109	0.01239125	0.0099926125	0.95379186	0.015370154
3	0.012892815	0.015445145	0.0075746737	0.94528514	0.018802226
4	0.004754755	0.007078867	0.0029288433	0.011548729	0.97368884
4	0.036793474	0.16940373	0.015082151	0.29584113	0.48287952
